t,v,s,f,q
2015-09-17 12:18,1.352,0.016,"0,0,0,0",v
2015-09-17 12:24,1.364,0.013,"0,0,0,0",v
2015-09-17 12:30,1.373,0.016,"0,0,0,0",v
2015-09-17 12:36,1.374,0.013,"0,0,0,0",v
2015-09-17 12:42,1.395,0.017,"0,0,0,0",v
2015-09-17 12:48,1.395,0.015,"0,0,0,0",v
2015-09-17 12:54,1.401,0.013,"0,0,0,0",v
2015-09-17 13:00,1.405,0.013,"0,0,0,0",v
2015-09-17 13:06,1.42,0.015,"0,0,0,0",v
2015-09-17 13:12,1.428,0.016,"0,0,0,0",v
2015-09-17 13:18,1.434,0.016,"0,0,0,0",v
2015-09-17 13:24,1.441,0.015,"0,0,0,0",v
2015-09-17 13:30,1.455,0.017,"0,0,0,0",v
2015-09-17 13:36,1.455,0.014,"0,0,0,0",v
2015-09-17 13:42,1.458,0.013,"0,0,0,0",v
2015-09-17 13:48,1.47,0.016,"0,0,0,0",v
2015-09-17 13:54,1.484,0.015,"0,0,0,0",v
2015-09-17 14:00,1.514,0.019,"0,0,0,0",v
2015-09-17 14:06,1.559,0.015,"0,0,0,0",v
2015-09-17 14:12,1.515,0.016,"0,0,0,0",v
2015-09-17 14:18,1.499,0.015,"0,0,0,0",v
2015-09-17 14:24,1.477,0.013,"0,0,0,0",v
2015-09-17 14:30,1.518,0.013,"0,0,0,0",v
2015-09-17 14:36,1.539,0.024,"0,0,0,0",v
2015-09-17 14:42,1.605,0.016,"0,0,0,0",v
2015-09-17 14:48,1.544,0.013,"0,0,0,0",v
2015-09-17 14:54,1.547,0.015,"0,0,0,0",v
2015-09-17 15:00,1.599,0.015,"0,0,0,0",v
2015-09-17 15:06,1.59,0.016,"0,0,0,0",v
2015-09-17 15:12,1.534,0.015,"0,0,0,0",v
2015-09-17 15:18,1.647,0.019,"0,0,0,0",v
2015-09-17 15:24,1.581,0.016,"0,0,1,0",v
2015-09-17 15:30,1.583,0.014,"0,0,0,0",v
2015-09-17 15:36,1.609,0.018,"0,0,0,0",v
2015-09-17 15:42,1.625,0.015,"0,0,0,0",v
2015-09-17 15:48,1.51,0.015,"0,0,0,0",v
2015-09-17 15:54,1.645,0.014,"0,0,1,0",v
2015-09-17 16:00,1.633,0.013,"0,0,1,0",v
2015-09-17 16:06,1.583,0.017,"0,0,0,0",v
2015-09-17 16:12,1.657,0.014,"0,0,0,0",v
2015-09-17 16:18,1.642,0.012,"0,0,0,0",v
2015-09-17 16:24,1.553,0.02,"0,0,0,0",v
2015-09-17 16:30,1.573,0.016,"0,0,0,0",v
2015-09-17 16:36,1.593,0.017,"0,0,0,0",v
2015-09-17 16:42,1.655,0.02,"0,0,0,0",v
2015-09-17 16:48,1.633,0.02,"0,0,0,0",v
2015-09-17 16:54,1.579,0.023,"0,0,0,0",v
2015-09-17 17:00,1.645,0.02,"0,0,0,0",v
2015-09-17 17:06,1.544,0.027,"0,0,1,0",v
2015-09-17 17:12,1.609,0.013,"0,0,1,0",v
2015-09-17 17:18,1.628,0.015,"0,0,0,0",v
2015-09-17 17:24,1.568,0.022,"0,0,0,0",v
2015-09-17 17:30,1.654,0.017,"0,0,0,0",v
2015-09-17 17:36,1.634,0.013,"0,0,1,0",v
2015-09-17 17:42,1.631,0.013,"0,0,0,0",v
2015-09-17 17:48,1.649,0.018,"0,0,0,0",v
2015-09-17 17:54,1.666,0.014,"0,0,0,0",v
2015-09-17 18:00,1.507,0.015,"0,0,0,0",v
2015-09-17 18:06,1.658,0.018,"0,0,1,0",v
2015-09-17 18:12,1.62,0.016,"0,0,1,0",v
2015-09-17 18:18,1.577,0.013,"0,0,0,0",v
2015-09-17 18:24,1.624,0.015,"0,0,0,0",v
2015-09-17 18:30,1.615,0.019,"0,0,0,0",v
2015-09-17 18:36,1.534,0.016,"0,0,0,0",v
2015-09-17 18:42,1.591,0.013,"0,0,0,0",v
2015-09-17 18:48,1.642,0.012,"0,0,0,0",v
2015-09-17 18:54,1.549,0.012,"0,0,0,0",v
2015-09-17 19:00,1.581,0.011,"0,0,1,0",v
2015-09-17 19:06,1.54,0.012,"0,0,0,0",v
2015-09-17 19:12,1.579,0.014,"0,0,0,0",v
2015-09-17 19:18,1.551,0.033,"0,0,0,0",v
2015-09-17 19:24,1.497,0.033,"0,0,0,0",v
2015-09-17 19:30,1.523,0.025,"0,0,0,0",v
2015-09-17 19:36,1.554,0.012,"0,0,0,0",v
2015-09-17 19:42,1.455,0.02,"0,0,0,0",v
2015-09-17 19:48,1.533,0.011,"0,0,1,0",v
2015-09-17 19:54,1.531,0.014,"0,0,1,0",v
2015-09-17 20:00,1.465,0.015,"0,0,0,0",v
2015-09-17 20:06,1.5,0.023,"0,0,0,0",v
2015-09-17 20:12,1.433,0.016,"0,0,0,0",v
2015-09-17 20:18,1.475,0.014,"0,0,0,0",v
2015-09-17 20:24,1.536,0.017,"0,0,0,0",v
2015-09-17 20:30,1.436,0.013,"0,0,0,0",v
2015-09-17 20:36,1.545,0.015,"0,0,1,0",v
2015-09-17 20:42,1.436,0.014,"0,0,1,0",v
2015-09-17 20:48,1.505,0.017,"0,0,1,0",v
2015-09-17 20:54,1.44,0.014,"0,0,1,0",v
2015-09-17 21:00,1.401,0.02,"0,0,0,0",v
2015-09-17 21:06,1.491,0.022,"0,0,0,0",v
2015-09-17 21:12,1.438,0.014,"0,0,1,0",v
2015-09-17 21:18,1.453,0.012,"0,0,0,0",v
2015-09-17 21:24,1.479,0.012,"0,0,0,0",v
2015-09-17 21:30,1.435,0.011,"0,0,0,0",v
2015-09-17 21:36,1.409,0.011,"0,0,0,0",v
2015-09-17 21:42,1.437,0.014,"0,0,0,0",v
2015-09-17 21:48,1.402,0.014,"0,0,0,0",v
2015-09-17 21:54,1.387,0.012,"0,0,0,0",v
2015-09-17 22:00,1.438,0.011,"0,0,0,0",v
2015-09-17 22:06,1.413,0.017,"0,0,0,0",v
2015-09-17 22:12,1.351,0.011,"0,0,0,0",v
2015-09-17 22:18,1.395,0.013,"0,0,0,0",v
2015-09-17 22:24,1.429,0.012,"0,0,0,0",v
