t,v,s,f,q
2010-02-28 20:48,3.161,0.033,"0,0,0,0",v
2010-02-28 20:54,3.29,0.036,"0,0,0,0",v
2010-02-28 21:00,3.063,0.066,"0,0,1,0",v
2010-02-28 21:06,2.836,0.04,"0,0,0,0",v
2010-02-28 21:12,2.766,0.035,"0,0,0,0",v
2010-02-28 21:18,2.58,0.046,"0,0,0,0",v
2010-02-28 21:24,2.811,0.074,"0,0,1,0",v
2010-02-28 21:30,3.083,0.029,"0,0,0,0",v
2010-02-28 21:36,2.884,0.082,"0,0,1,0",v
2010-02-28 21:42,2.435,0.085,"0,0,0,0",v
2010-02-28 21:48,1.913,0.036,"0,0,0,0",v
2010-02-28 21:54,2.306,0.107,"0,0,1,0",v
2010-02-28 22:00,2.554,0.021,"0,0,1,0",v
2010-02-28 22:06,2.43,0.024,"0,0,0,0",v
2010-02-28 22:12,2.405,0.024,"0,0,1,0",v
2010-02-28 22:18,2.183,0.033,"0,0,0,0",v
2010-02-28 22:24,2.163,0.028,"0,0,0,0",v
2010-02-28 22:30,2.235,0.019,"0,0,0,0",v
2010-02-28 22:36,2.042,0.045,"0,0,0,0",v
