t,v,s,f,q
2011-03-11 17:54,2.012,0.337,"0,0,1,0",v
2011-03-11 18:00,3.444,0.221,"0,0,1,0",v
2011-03-11 18:06,2.457,0.53,"0,0,1,0",v
2011-03-11 18:12,-0.105,0.229,"0,0,1,0",v
2011-03-11 18:18,-0.098,0.268,"0,0,1,0",v
2011-03-11 18:24,2.702,0.206,"0,0,0,0",v
2011-03-11 18:30,2.766,0.165,"0,0,1,0",v
2011-03-11 18:36,1.243,0.373,"0,0,1,0",v
2011-03-11 18:42,-0.415,0.002,"0,0,1,0",v
2011-03-11 18:48,1.839,0.601,"0,0,1,0",v
2011-03-11 18:54,2.861,0.248,"0,0,1,0",v
2011-03-11 19:00,0.522,0.172,"0,0,1,0",v
2011-03-11 19:06,1.912,0.543,"0,0,1,0",v
2011-03-11 19:12,2.883,0.339,"0,0,1,0",v
2011-03-11 19:18,-0.003,0.301,"0,0,1,0",v
2011-03-11 19:24,0.413,0.7,"0,0,1,0",v
2011-03-11 19:30,2.979,0.128,"0,0,1,0",v
2011-03-11 19:36,1.495,0.264,"0,0,1,0",v
2011-03-11 19:42,0.924,0.172,"0,0,1,0",v
2011-03-11 19:48,2.144,0.108,"0,0,1,0",v
2011-03-11 19:54,2.441,0.078,"0,0,1,0",v
2011-03-11 20:00,0.917,0.293,"0,0,1,0",v
2011-03-11 20:06,0.193,0.163,"0,0,1,0",v
2011-03-11 20:12,1.551,0.215,"0,0,1,0",v
2011-03-11 20:18,1.978,0.054,"0,0,1,0",v
2011-03-11 20:24,1.313,0.095,"0,0,0,0",v
2011-03-11 20:30,1.279,0.25,"0,0,1,0",v
2011-03-11 20:36,3.659,0.108,"0,0,1,0",v
2011-03-11 20:42,2.114,0.242,"0,0,1,0",v
2011-03-11 20:48,0.085,0.208,"0,0,1,0",v
2011-03-11 20:54,1.953,0.415,"0,0,1,0",v
2011-03-11 21:00,2.646,0.055,"0,0,1,0",v
2011-03-11 21:06,1.687,0.228,"0,0,1,0",v
2011-03-11 21:12,0.78,0.189,"0,0,1,0",v
2011-03-11 21:18,3.032,0.152,"0,0,1,0",v
2011-03-11 21:24,2.602,0.347,"0,0,1,0",v
2011-03-11 21:30,0.206,0.233,"0,0,1,0",v
2011-03-11 21:36,1.036,0.333,"0,0,1,0",v
2011-03-11 21:42,2.358,0.241,"0,0,1,0",v
2011-03-11 21:48,3.276,0.058,"0,0,1,0",v
2011-03-11 21:54,2.631,0.16,"0,0,1,0",v
2011-03-11 22:00,2.273,0.049,"0,0,1,0",v
2011-03-11 22:06,1.562,0.306,"0,0,1,0",v
2011-03-11 22:12,0.572,0.317,"0,0,0,0",v
2011-03-11 22:18,3.594,0.116,"0,0,1,0",v
2011-03-11 22:24,2.435,0.217,"0,0,1,0",v
2011-03-11 22:30,1.444,0.114,"0,0,1,0",v
2011-03-11 22:36,1.755,0.143,"0,0,1,0",v
2011-03-11 22:42,2.039,0.187,"0,0,1,0",v
2011-03-11 22:48,2.138,0.035,"0,0,0,0",v
2011-03-11 22:54,3.065,0.048,"0,0,1,0",v
2011-03-11 23:00,2.696,0.131,"0,0,1,0",v
2011-03-11 23:06,1.752,0.043,"0,0,1,0",v
2011-03-11 23:12,2.865,0.156,"0,0,1,0",v
2011-03-11 23:18,2.724,0.188,"0,0,1,0",v
2011-03-11 23:24,1.464,0.035,"0,0,0,0",v
2011-03-11 23:30,2.19,0.059,"0,0,1,0",v
2011-03-11 23:36,2.284,0.058,"0,0,1,0",v
2011-03-11 23:42,1.254,0.163,"0,0,1,0",v
2011-03-11 23:48,2.337,0.403,"0,0,1,0",v
2011-03-11 23:54,3.842,0.091,"0,0,1,0",v
2011-03-12 00:00,2.96,0.292,"0,0,1,0",v
2011-03-12 00:06,2.26,0.071,"0,0,1,0",v
2011-03-12 00:12,2.508,0.062,"0,0,1,0",v
2011-03-12 00:18,2.093,0.077,"0,0,1,0",v
2011-03-12 00:24,2.195,0.136,"0,0,1,0",v
2011-03-12 00:30,2.136,0.177,"0,0,1,0",v
2011-03-12 00:36,1.255,0.078,"0,0,1,0",v
2011-03-12 00:42,2.101,0.36,"0,0,1,0",v
2011-03-12 00:48,3.83,0.121,"0,0,1,0",v
2011-03-12 00:54,3.362,0.196,"0,0,1,0",v
2011-03-12 01:00,2.31,0.165,"0,0,1,0",v
2011-03-12 01:06,1.266,0.07,"0,0,1,0",v
2011-03-12 01:12,2.491,0.252,"0,0,1,0",v
2011-03-12 01:18,2.864,0.065,"0,0,1,0",v
2011-03-12 01:24,2.214,0.107,"0,0,0,0",v
2011-03-12 01:30,2.286,0.089,"0,0,1,0",v
2011-03-12 01:36,2.45,0.08,"0,0,1,0",v
2011-03-12 01:42,1.986,0.072,"0,0,1,0",v
2011-03-12 01:48,2.051,0.065,"0,0,1,0",v
2011-03-12 01:54,2.5,0.041,"0,0,0,0",v
2011-03-12 02:00,2.533,0.028,"0,0,1,0",v
2011-03-12 02:06,2.703,0.025,"0,0,1,0",v
2011-03-12 02:12,2.486,0.112,"0,0,1,0",v
2011-03-12 02:18,1.675,0.026,"0,0,0,0",v
2011-03-12 02:24,2.559,0.158,"0,0,1,0",v
2011-03-12 02:30,3.306,0.043,"0,0,1,0",v
2011-03-12 02:36,2.048,0.18,"0,0,1,0",v
2011-03-12 02:42,1.329,0.025,"0,0,1,0",v
2011-03-12 02:48,1.981,0.107,"0,0,1,0",v
2011-03-12 02:54,2.77,0.186,"0,0,1,0",v
2011-03-12 03:00,2.73,0.231,"0,0,1,0",v
2011-03-12 03:06,1.322,0.155,"0,0,1,0",v
2011-03-12 03:12,1.943,0.253,"0,0,1,0",v
2011-03-12 03:18,2.664,0.088,"0,0,1,0",v
2011-03-12 03:24,1.747,0.107,"0,0,1,0",v
2011-03-12 03:30,2.244,0.156,"0,0,1,0",v
2011-03-12 03:36,2.732,0.044,"0,0,1,0",v
2011-03-12 03:42,2.086,0.094,"0,0,1,0",v
2011-03-12 03:48,2.45,0.107,"0,0,1,0",v
2011-03-12 03:54,2.264,0.144,"0,0,1,0",v
2011-03-12 04:00,1.116,0.167,"0,0,0,0",v
2011-03-12 04:06,1.806,0.321,"0,0,1,0",v
2011-03-12 04:12,2.954,0.061,"0,0,1,0",v
2011-03-12 04:18,2.511,0.135,"0,0,1,0",v
2011-03-12 04:24,1.704,0.081,"0,0,1,0",v
2011-03-12 04:30,1.574,0.019,"0,0,1,0",v
2011-03-12 04:36,1.518,0.083,"0,0,1,0",v
2011-03-12 04:42,2.491,0.096,"0,0,1,0",v
2011-03-12 04:48,2.397,0.088,"0,0,1,0",v
2011-03-12 04:54,2.006,0.108,"0,0,1,0",v
2011-03-12 05:00,3.134,0.131,"0,0,1,0",v
2011-03-12 05:06,3.235,0.214,"0,0,1,0",v
2011-03-12 05:12,1.125,0.29,"0,0,1,0",v
2011-03-12 05:18,0.603,0.191,"0,0,1,0",v
2011-03-12 05:24,2.183,0.178,"0,0,1,0",v
2011-03-12 05:30,2.589,0.078,"0,0,1,0",v
2011-03-12 05:36,1.591,0.123,"0,0,0,0",v
2011-03-12 05:42,1.941,0.204,"0,0,1,0",v
2011-03-12 05:48,2.686,0.054,"0,0,1,0",v
2011-03-12 05:54,2.884,0.073,"0,0,1,0",v
2011-03-12 06:00,2.039,0.15,"0,0,1,0",v
2011-03-12 06:06,1.518,0.067,"0,0,1,0",v
2011-03-12 06:12,2.292,0.078,"0,0,1,0",v
2011-03-12 06:18,2.3,0.035,"0,0,1,0",v
2011-03-12 06:24,2.425,0.066,"0,0,1,0",v
2011-03-12 06:30,2.519,0.064,"0,0,0,0",v
2011-03-12 06:36,1.673,0.152,"0,0,1,0",v
2011-03-12 06:42,1.111,0.098,"0,0,1,0",v
2011-03-12 06:48,2.561,0.114,"0,0,1,0",v
2011-03-12 06:54,2.952,0.026,"0,0,1,0",v
2011-03-12 07:00,2.289,0.085,"0,0,0,0",v
2011-03-12 07:06,2.015,0.024,"0,0,1,0",v
2011-03-12 07:12,2.761,0.17,"0,0,1,0",v
2011-03-12 07:18,2.746,0.171,"0,0,1,0",v
2011-03-12 07:24,1.48,0.123,"0,0,1,0",v
2011-03-12 07:30,2.097,0.298,"0,0,1,0",v
2011-03-12 07:36,3.119,0.019,"0,0,1,0",v
2011-03-12 07:42,2.465,0.175,"0,0,1,0",v
2011-03-12 07:48,1.445,0.11,"0,0,1,0",v
2011-03-12 07:54,1.712,0.229,"0,0,1,0",v
2011-03-12 08:00,3.15,0.145,"0,0,0,0",v
2011-03-12 08:06,3.252,0.167,"0,0,1,0",v
2011-03-12 08:12,2.464,0.035,"0,0,0,0",v
2011-03-12 08:18,2.469,0.028,"0,0,1,0",v
2011-03-12 08:24,2.647,0.056,"0,0,1,0",v
2011-03-12 08:30,2.624,0.04,"0,0,0,0",v
2011-03-12 08:36,2.763,0.067,"0,0,0,0",v
2011-03-12 08:42,1.963,0.1,"0,0,1,0",v
2011-03-12 08:48,1.623,0.037,"0,0,1,0",v
2011-03-12 08:54,2.834,0.171,"0,0,1,0",v
2011-03-12 09:00,3.243,0.027,"0,0,1,0",v
2011-03-12 09:06,3.191,0.037,"0,0,0,0",v
2011-03-12 09:12,3.199,0.038,"0,0,1,0",v
2011-03-12 09:18,2.946,0.021,"0,0,0,0",v
2011-03-12 09:24,2.723,0.11,"0,0,0,0",v
2011-03-12 09:30,1.853,0.081,"0,0,1,0",v
2011-03-12 09:36,2.326,0.235,"0,0,1,0",v
2011-03-12 09:42,3.78,0.121,"0,0,0,0",v
2011-03-12 09:48,3.245,0.193,"0,0,1,0",v
2011-03-12 09:54,2.172,0.12,"0,0,1,0",v
2011-03-12 10:00,2.145,0.119,"0,0,1,0",v
2011-03-12 10:06,3.073,0.149,"0,0,0,0",v
2011-03-12 10:12,3.479,0.066,"0,0,1,0",v
2011-03-12 10:18,2.969,0.128,"0,0,0,0",v
2011-03-12 10:24,2.912,0.099,"0,0,1,0",v
2011-03-12 10:30,3.33,0.044,"0,0,0,0",v
2011-03-12 10:36,2.861,0.164,"0,0,1,0",v
2011-03-12 10:42,2.498,0.11,"0,0,1,0",v
2011-03-12 10:48,3.438,0.069,"0,0,1,0",v
2011-03-12 10:54,2.964,0.167,"0,0,1,0",v
2011-03-12 11:00,2.675,0.092,"0,0,1,0",v
2011-03-12 11:06,3.367,0.073,"0,0,1,0",v
2011-03-12 11:12,3.06,0.103,"0,0,1,0",v
2011-03-12 11:18,2.65,0.015,"0,0,1,0",v
2011-03-12 11:24,2.782,0.04,"0,0,1,0",v
2011-03-12 11:30,3.163,0.077,"0,0,0,0",v
2011-03-12 11:36,3.461,0.042,"0,0,0,0",v
2011-03-12 11:42,2.886,0.091,"0,0,1,0",v
2011-03-12 11:48,2.794,0.082,"0,0,1,0",v
2011-03-12 11:54,3.506,0.095,"0,0,0,0",v
2011-03-12 12:00,3.459,0.13,"0,0,1,0",v
2011-03-12 12:06,2.366,0.195,"0,0,0,0",v
2011-03-12 12:12,2.142,0.21,"0,0,1,0",v
2011-03-12 12:18,3.598,0.088,"0,0,1,0",v
2011-03-12 12:24,3.229,0.216,"0,0,1,0",v
2011-03-12 12:30,2.296,0.034,"0,0,1,0",v
2011-03-12 12:36,2.968,0.114,"0,0,1,0",v
